"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Dec 05 21:16:55 WET 2025","Fri Dec 05 21:16:56 WET 2025","680","","com.example.demo.selenide.tests.DatabaseTest","","com.example.demo.selenide.tests.DatabaseTest","testOpenNewCustomerForm","testOpenNewCustomerForm()",""
"passed","Fri Dec 05 21:18:56 WET 2025","Fri Dec 05 21:19:00 WET 2025","3302","","com.example.demo.selenide.tests.DatabaseTest","","com.example.demo.selenide.tests.DatabaseTest","testGridHasData","testGridHasData()",""
"passed","Fri Dec 05 20:44:20 WET 2025","Fri Dec 05 20:47:54 WET 2025","214376","","com.example.demo.MainPageTest","","com.example.demo.MainPageTest","search","search()",""
"passed","Fri Dec 05 20:47:54 WET 2025","Fri Dec 05 20:48:08 WET 2025","14107","","com.example.demo.MainPageTest","","com.example.demo.MainPageTest","toolsMenu","toolsMenu()",""
"passed","Fri Dec 05 20:49:23 WET 2025","Fri Dec 05 20:49:26 WET 2025","3827","","com.example.demo.tests.CheckboxesTest","","com.example.demo.tests.CheckboxesTest","marcarEDesmarcarCheckboxes","marcarEDesmarcarCheckboxes()",""
"passed","Fri Dec 05 20:48:08 WET 2025","Fri Dec 05 20:49:15 WET 2025","66298","","com.example.demo.MainPageTest","","com.example.demo.MainPageTest","navigationToAllTools","navigationToAllTools()",""
"passed","Fri Dec 05 20:49:26 WET 2025","Fri Dec 05 20:49:30 WET 2025","3491","","com.example.demo.tests.DropdownTest","","com.example.demo.tests.DropdownTest","selecionarOpcaoNoDropdown","selecionarOpcaoNoDropdown()",""
"broken","Fri Dec 05 21:07:28 WET 2025","Fri Dec 05 21:07:31 WET 2025","3176","","com.example.demo.selenide.tests.DatabaseTest","","com.example.demo.selenide.tests.DatabaseTest","testFilterCustomer","testFilterCustomer()",""
"passed","Fri Dec 05 20:49:30 WET 2025","Fri Dec 05 20:49:36 WET 2025","5922","","com.example.demo.tests.FileUploadTest","","com.example.demo.tests.FileUploadTest","uploadDeFicheiroSimples","uploadDeFicheiroSimples()",""
